,FIPS,State,County,total_votes,GOP,DEM,cases,deaths,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Unemployed
402,5129,AR,Searcy,4019,3365,588,212,1,7925,4030,3895,174,7410,16,79,103,0,6297,36716,1379,1419,1981,800,1839,1577,1736,5761,1363,32,317,111,341,28.9,3082,5167,1292,1466,0,3.6,28530
403,21167,KY,Mercer,11735,8506,3033,387,6,21378,10652,10726,577,19497,876,21,150,0,16316,47574,3570,5002,6349,3634,4489,2694,4211,17915,2031,43,235,128,1026,26.4,9657,16440,3014,1710,214,9.1,194540
404,48357,TX,Ochiltree,3155,2811,302,338,5,10484,5353,5131,5557,4665,21,73,21,0,5698,50120,1363,1541,2401,1793,2086,2694,1510,7978,2002,0,210,189,115,18.5,4679,8293,1342,818,31,7.6,79678
405,55069,WI,Lincoln,16497,10017,6261,965,12,27994,14053,13941,392,26790,140,84,112,0,22427,54203,2575,3415,7754,4311,6859,3051,6019,23599,2324,112,756,252,952,22.7,14327,22815,3247,1848,84,4,111976
406,26137,MI,Otsego,14756,9779,4743,287,12,24247,11951,12296,388,22962,97,121,121,0,18968,50823,3613,5577,7129,4655,6377,2643,3443,19980,2910,48,364,315,630,19.5,10894,20101,2570,1576,0,6.4,155181
407,56031,WY,Platte,4923,3898,890,156,2,8703,4535,4168,679,7763,0,0,44,0,6753,47380,914,1601,2533,1340,1775,1880,1184,6579,766,26,339,113,879,16.9,4289,6257,1471,975,0,2.5,21758
408,4003,AZ,Cochise,57672,33580,22997,2205,75,126516,64094,62422,44281,70469,4555,1139,2277,506,92064,47847,22899,32768,43522,30743,30490,12778,9109,100074,13031,886,3542,3416,5567,20.5,43404,80464,37828,7717,506,7.6,961522
409,13245,GA,Richmond,87016,26781,59124,8160,185,201568,97435,104133,9675,71557,111266,403,3628,403,150995,39430,48779,75588,60269,45353,52408,18141,25398,163069,19552,3427,7055,4434,4233,20.5,78704,150571,44345,6249,202,11.6,2338189
410,55071,WI,Manitowoc,44829,27218,16818,3058,16,79680,39612,40068,2948,72668,558,319,2072,0,61947,51053,8127,11394,22470,13625,16334,7809,19522,67170,5737,319,1992,1434,3028,18.7,41085,68525,7171,3745,239,3.7,294816
411,30055,MT,McCone,1128,956,155,65,0,1728,923,805,55,1534,0,119,9,0,1298,46193,133,35,923,97,320,285,102,1116,123,0,140,0,351,16.7,798,956,271,498,5,1.2,2074
